"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\AssignAdminPermSet.cls","6","8","AvoidGlobalModifier","Avoid using global modifier","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier","Best Practices","pmd"
"2","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\AssignAdminPermSet.cls","12","5","EmptyStatementBlock","Avoid empty block statements.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_errorprone.html#emptystatementblock","Error Prone","pmd"
"3","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","6","24","AvoidGlobalModifier","Avoid using global modifier","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier","Best Practices","pmd"
"4","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","6","24","StdCyclomaticComplexity","The class 'HistoryTrackingService' has a Standard Cyclomatic Complexity of 14 (Highest = 47).","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"5","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","6","24","CognitiveComplexity","The class 'HistoryTrackingService' has a total cognitive complexity of 258 (highest 251), current threshold is 50","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"6","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","6","24","CyclomaticComplexity","The class 'HistoryTrackingService' has a total cyclomatic complexity of 71 (highest 64).","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"7","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","23","19","StdCyclomaticComplexity","The method 'track' has a Standard Cyclomatic Complexity of 47.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"8","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","23","19","NcssMethodCount","The method 'track()' has an NCSS line count of 173 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"9","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","23","19","CognitiveComplexity","The method 'track(List<Sobject>, Map<Id, sObject>, String)' has a cognitive complexity of 251, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"10","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","23","19","CyclomaticComplexity","The method 'track(List<Sobject>, Map<Id, sObject>, String)' has a cyclomatic complexity of 64.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
